room_code,room_name,building_or_zone,floor,room_type,capacity_adults,capacity_children,bed_configuration,area_m2,operational_status,notes
301,301,UNKNOWN,BASEMENT,"Одноместный, цоколь",1,UNKNOWN,,16,UNKNOWN,PHOTO_2026-08-25
101,101,UNKNOWN,BASEMENT,"Двухместный стандарт, цоколь",2,UNKNOWN,1сп+1сп+д,16-24,UNKNOWN,PHOTO_2026-08-25
102,102,UNKNOWN,BASEMENT,"Двухместный стандарт, цоколь",2,UNKNOWN,,16-24,UNKNOWN,PHOTO_2026-08-25
103,103,UNKNOWN,BASEMENT,"Двухместный стандарт, цоколь",2,UNKNOWN,1сп+1сп+кр,16-24,UNKNOWN,PHOTO_2026-08-25
104,104,UNKNOWN,BASEMENT,"Двухместный стандарт, цоколь",2,UNKNOWN,1сп+1сп,16-24,UNKNOWN,PHOTO_2026-08-25
201,201,UNKNOWN,BASEMENT,"Двухместный стандарт, цоколь",2,UNKNOWN,2сп+кр,16-24,UNKNOWN,PHOTO_2026-08-25
202,202,UNKNOWN,BASEMENT,"Двухместный стандарт, цоколь",2,UNKNOWN,2сп+д+к; доп. кровать,16-24,UNKNOWN,PHOTO_2026-08-25
302,302,UNKNOWN,BASEMENT,"Двухместный стандарт, цоколь",2,UNKNOWN,1сп+1сп,16-24,UNKNOWN,PHOTO_2026-08-25
303,303,UNKNOWN,BASEMENT,"Двухместный стандарт, цоколь",2,UNKNOWN,1сп+1сп,16-24,UNKNOWN,PHOTO_2026-08-25
304,304,UNKNOWN,BASEMENT,"Двухместный стандарт, цоколь",2,UNKNOWN,1сп+1сп,16-24,UNKNOWN,PHOTO_2026-08-25
305,305,UNKNOWN,BASEMENT,"Двухместный стандарт, цоколь",2,UNKNOWN,1сп+1сп,16-24,UNKNOWN,PHOTO_2026-08-25
501,501,UNKNOWN,MANSARD,"Одноместный, улучшенный",1,UNKNOWN,1сп+1сп+крк,21,UNKNOWN,"PHOTO_2026-08-25; OWNER_APPROVED_2026-09-01; canonical category and raw bed label retained per owner acceptance"
502,502,UNKNOWN,MANSARD,"Одноместный, улучшенный",1,UNKNOWN,1сп+1сп+крк,21,UNKNOWN,"PHOTO_2026-08-25; OWNER_APPROVED_2026-09-01; canonical category and raw bed label retained per owner acceptance"
1А,1А,COTTAGE,UNKNOWN,Двухместный стандарт в коттеджном доме,2,UNKNOWN,,27,UNKNOWN,PHOTO_2026-08-25
1Б,1Б,COTTAGE,UNKNOWN,Двухместный стандарт в коттеджном доме,2,UNKNOWN,,27,UNKNOWN,PHOTO_2026-08-25
1В,1В,COTTAGE,UNKNOWN,Двухместный стандарт в коттеджном доме,2,UNKNOWN,,27,UNKNOWN,PHOTO_2026-08-25
1Г,1Г,COTTAGE,UNKNOWN,Двухместный стандарт в коттеджном доме,2,UNKNOWN,,27,UNKNOWN,PHOTO_2026-08-25
